"","pub_id","author_name","author_id"
"1395",358,"Deldicque, D.","281"
"1396",358,"Losno, R.","708"
"1397",358,"France-Lanord, Christian","1500"
"1398",358,"Groppo, Chiara","1501"
"1399",358,"Rolfo, Franco","1502"
"1400",358,"Tamang, Shashi","1503"
"1401",358,"Rigaudier, Thomas","1504"
"1402",358,"Debret, Baptiste","1505"
"1403",358,"Paudyal, Kabi Raj","1506"
"1404",358,"Adhikari, Lok Bijaya","1507"
"1405",358,"Perrier, Frederic","1508"
"1406",359,"Dong, J.","298"
"1407",359,"Bode, A.","131"
"1408",359,"Jaroenchai, N.","563"
"1409",359,"Saxton, Aaron","1509"
"1410",359,"Kooper, Rob","1510"
"1411",359,"Zhu, Xiyue","1511"
"1412",359,"Kwark, Dou Hoon","1512"
"1413",359,"Kramer, William","1513"
"1414",359,"Kindratenko, Volodymyr","1514"
"1415",359,"Luo, Shirui","1515"
"1416",364,"Swezey, C S","1134"
"1417",364,"Blome, C D","127"
"1418",364,"Lundstrom, S C","715"
"1419",364,"Stone, B D","1118"
"1420",364,"Sweetkind, D S","1133"
"1421",364,"Berg, R C","104"
"1422",364,"Brown, S E","166"
"1423",364,"Yellich, J A","1287"
"1424",364,"Kincare, Kevin A.","1516"
"1425",366,"Simpson, B.","1078"
"1426",366,"Ubide, T.","1179"
"1427",366,"Spandler, C.","1098"
"1428",371,"Azmi, Ulul","66"
"1429",371,"Murtiana, Sri","850"
"1430",371,"Anda, Martin","34"
"1431",371,"Sasongko, Nugroho Adi","1517"
"1432",373,"Ibrahim, Mohammad","1518"
"1433",373,"Aune, Ragnhild","1519"
"1434",379,"Bailey, R T","70"
"1435",379,"Arnold, J G","52"
"1436",379,"White, Michael J. ","1494"
"1437",379,"Abbas, S.","1"
"1438",379,"Mirchi, Ali","1520"
"1439",390,"Ajaz, A.","14"
"1440",390,"Taghvaeian, S.","1136"
"1441",390,"Lollato, R.","706"
"1442",390,"Alderman, P D","20"
"1443",390,"Gowda, Prasanna H.","1521"
"1444",395,"Malikova, O. I.","1522"
"1445",395,"Maksimova, A. M.","1523"
"1446",401,"Malinconico, MaryAnn Love","1524"
"1447",408,"Hui, J.","535"
"1448",408,"Cheng, Y.","199"
"1449",412,"Monte, Nunzia","1525"
"1450",412,"Bucci, Francesco","1526"
"1451",412,"Mevoli, Federica Angela","1527"
"1452",412,"Santangelo, Michele","1528"
"1453",412,"Reichenbach, Paola","1529"
"1454",412,"Matteo, Lucio Di","1530"
"1455",412,"Marchesini, Ivan","1531"
"1456",421,"Salomon, Eric","1532"
"1457",435,"Kendall, Katharine P.","620"
"1458",435,"Roesch, Ariane","1002"
"1459",435,"Stearns, Andrew","1105"
"1460",435,"Ramon-Duenas, Carolina","969"
"1461",435,"Kendall, Jerome J.","619"
"1462",435,"Phillips, Jan-Claire","938"
"1463",435,"Meyer, S.","792"
"1464",436,"Wu, Connor Y. H.","1261"
"1465",436,"Bennett, Michael","99"
"1466",436,"Fox, Katherine","377"
"1467",436,"Parkhurst, Laura","911"
"1468",436,"Sherrod, Rebecca","1062"
"1469",436,"Gohlke, Julia M.","423"
"1470",436,"Hubbard, Aaron","1533"
"1471",436,"Holguin, Sarah","1534"
"1472",436,"Marmagas, Susan W.","1535"
"1473",440,"Young, M L","1291"
"1474",440,"Jenkins, J A","569"
"1475",441,"Copler, C.","234"
"1476",441,"Holtkamp, C.","510"
"1477",441,"Myles, C C","856"
"1478",442,"Coube-Sisqueille, S.","240"
"1479",442,"Liquet, B.","689"
"1480",449,"Gomes, Jailane De Sousa","1536"
"1481",449,"Silva, Francisco Da","1537"
"1482",449,"Salomao, Marcelo dos santos","1538"
"1483",452,"Dusel-Bacon, C.","312"
"1484",452,"Mortensen, J K","831"
"1485",455,"Koyamparambath, A.","650"
"1486",455,"Sonnemann, G.","1095"
"1487",455,"Young, S B","1292"
"1488",470,"Case, George N. D.","191"
"1489",470,"Graham, Garth E.","432"
"1490",470,"Lawley, C J M","674"
"1491",470,"Bastrakov, E.","87"
"1492",470,"Huston, D L","543"
"1493",470,"Hofstra, A H","505"
"1494",470,"Lisitsin, V.","690"
"1495",470,"Wang, B.","1210"
"1496",470,"Hawkins, Steph","1354"
"1497",481,"Steurs, Gert","1112"
"1498",481,"Arčon, Iztok","50"
"1499",481,"Riaño, Sofía","991"
"1500",481,"Gerven, Tom Van","408"
"1501",481,"Binnemans, Koen","119"
"1502",481,"Cool, Vincent","1539"
"1503",491,"Garcia, Jordan Sleyter Santa Cruz","1540"
"1504",492,"Chen, Liyang","1541"
"1505",492,"Yang, Yuyao","1542"
"1506",492,"WANG, Peng","1543"
"1507",492,"Guo, Yongmei","1544"
"1508",492,"Zhao, Shen","1545"
"1509",492,"Chen, Lihua","1546"
"1510",492,"Chen, Weiqiang","1547"
"1511",493,"Niri, A. Jannesar","876"
"1512",493,"Poelzer, G A","943"
"1513",493,"Pettersson, M.","931"
"1514",493,"Rosenkranz, J.","1007"
"1515",494,"Niri, A. Jannesar","876"
"1516",495,"Whittle, D.","1240"
"1517",495,"Yellishetty, M.","1288"
"1518",497,"Díaz-Gutiérrez, E.","271"
"1519",497,"Calvo, J A M","178"
"1520",497,"Hernandez-Saz, J.","1548"
"1521",497,"Gallardo, J.M.","1549"
