"","pub_id","author_name","author_id"
"307",52,"Murdoch, P S","848"
"308",54,"Maune, David F.","1335"
"309",57,"Naibert, Travis J.","859"
"310",57,"Heizler, Matthew T.","489"
"311",57,"Newberry, Rainer J.","864"
"312",57,"Twelker, Evan","1178"
"313",57,"Wypych, Alicja","1267"
"314",58,"Anderson, E.","35"
"315",58,"Drenth, Benjamin J.","305"
"316",58,"Grauch, V. J. S.","434"
"317",58,"McCafferty, Anne E.","770"
"318",58,"Shah, A. K.","1052"
"319",58,"Scheirer, Dan","1033"
"320",58,"Johnson, Michaela R","1337"
"321",58,"Ball, L. B.","1348"
"322",58,"Schweitzer, P. N.","1349"
"323",58,"Smith, B. D.","1350"
"324",59,"McCafferty, Anne E.","770"
"325",59,"Connell, Dylan M","1336"
"326",60,"Ponce, D.","947"
"327",60,"Benjamin J Drenth, Ph.D","98"
"328",61,"Langhans, A D Allen","667"
"329",61,"Benjamin J Drenth, Ph.D","98"
"330",61,"Connell, Dylan M","1336"
"331",62,"Amaral, Chelsea Morgan","31"
"332",62,"McCafferty, Anne E.","770"
"333",62,"Connell, Dylan M","1336"
"334",63,"Langhans, A D Allen","667"
"335",63,"Macqueen, Patricia G.","728"
"336",63,"Grauch, V. J. S.","434"
"337",64,"Grauch, V. J. S.","434"
"338",64,"Langhans, A D Allen","667"
"339",64,"Macqueen, Patricia G.","728"
"340",65,"Shah, A. K.","1052"
"341",65,"Connell, Dylan M","1336"
"342",66,"Benjamin J Drenth, Ph.D","98"
"343",66,"Langhans, A D Allen","667"
"344",66,"Connell, Dylan M","1336"
"345",67,"Langhans, A D Allen","667"
"346",67,"Benjamin J Drenth, Ph.D","98"
"347",68,"Langhans, A D Allen","667"
"348",68,"Benjamin J Drenth, Ph.D","98"
"349",68,"Connell, Dylan M","1336"
"350",69,"McCafferty, Anne E.","770"
"351",69,"Johnson, Michaela R","1337"
"352",70,"Shah, A. K.","1052"
"353",70,"Connell, Dylan M","1336"
"354",71,"McCafferty, Anne E.","770"
"355",71,"Amaral, Chelsea Morgan","31"
"356",71,"Connell, Dylan M","1336"
"357",72,"Werdon, Melanie B.","1230"
"358",72,"Twelker, Evan","1178"
"359",72,"Emond, A.","327"
"360",73,"Naibert, Travis J.","859"
"361",73,"Wypych, Alicja","1267"
"362",73,"Newberry, Rainer J.","864"
"363",73,"Twelker, Evan","1178"
"364",73,"Gavel, Michelle M.","402"
"365",73,"Wildland, Alec D.","1241"
"366",73,"Barrera, Michael L.","83"
"367",73,"Avirett, Dylan F.","61"
"368",73,"Muller, Izzy P.","845"
"369",73,"Blackwell, Noel J S","122"
"370",73,"Szumigala, David J.","1135"
"371",74,"Wypych, Alicja","1267"
"372",74,"Naibert, Travis J.","859"
"373",74,"Newberry, Rainer J.","864"
"374",74,"Twelker, Evan","1178"
"375",74,"Gavel, Michelle M.","402"
"376",74,"Wildland, Alec D.","1241"
"377",74,"Szumigala, David J.","1135"
"378",74,"Regan, Sean P.","986"
"379",74,"Avirett, Dylan F.","61"
